resonance_rad (um),t (s),Eigenfrequency (Hz),"Velocity, X component (m^4/s)","Velocity, Y component (m^4/s)","Velocity, Z component (m^4/s)",Velocity magnitude (m^4/s),1 (m^3)
10,0,1.5868-5.5624i,-3.6000E-29-1.7197E-29i,4.9174E-29-5.6057E-29i,-6.4849E-29-7.2379E-29i,8.90E-29,4.32E-14
10,0,1.5868+5.5624i,3.6000E-29-1.7197E-29i,-4.9174E-29-5.6057E-29i,6.4849E-29-7.2379E-29i,8.90E-29,4.32E-14
10,0,26.17,-6.5135E-29i,-2.1376E-31i,1.6985E-30i,0,4.32E-14
10,0,3.18E+06,1.2423E-40i,-3.1123E-40i,7.0951E-43i,0,4.32E-14
10,0,3.18E+06,1.6980E-41i,1.9697E-41i,-7.5173E-44i,0,4.32E-14
10,0,3.18E+06,7.4249E-41i,-2.6738E-41i,4.7246E-44i,0,4.32E-14
10,0,4.35E+06,-1.0428E-40i,-6.8724E-41i,-7.4465E-44i,0,4.32E-14
10,0,4.35E+06,-5.8318E-41i,-8.8133E-41i,1.9209E-43i,0,4.32E-14
10,0,4.35E+06,1.0155E-41i,-1.1353E-40i,-2.9521E-44i,0,4.32E-14
10,0,5.96E+06,-5.0509E-41i,6.6669E-42i,-6.4407E-46i,0,4.32E-14
10,0,5.98E+06,3.9294E-40i,7.2802E-41i,1.1018E-44i,0,4.32E-14
10,0,5.99E+06,6.9179E-41i,1.8141E-41i,2.4879E-44i,0,4.32E-14
10,0,6.58E+06,1.5485E-41i,4.5396E-41i,2.7861E-47i,0,4.32E-14
10,0,6.58E+06,2.2253E-41i,-9.0470E-41i,-6.9229E-44i,0,4.32E-14
10,0,6.59E+06,-9.6361E-41i,-1.3114E-40i,-6.2711E-44i,0,4.32E-14
10,0,6.66E+06,-1.7162E-41i,2.6639E-41i,4.3861E-44i,0,4.32E-14
10,0,6.66E+06,5.9541E-41i,2.2382E-41i,5.0692E-44i,0,4.32E-14
10,0,6.67E+06,-5.5483E-42i,3.9888E-41i,-1.9820E-44i,0,4.32E-14
10,0,6.80E+06,1.3973E-43i,1.2134E-41i,-2.1290E-44i,0,4.32E-14
10,0,6.83E+06,1.3126E-40i,3.1923E-42i,-2.3781E-45i,0,4.32E-14
10,0,6.85E+06,1.7018E-44i,3.0557E-41i,4.3066E-45i,0,4.32E-14
10,0,7.65E+06,3.8733E-41i,-1.3267E-41i,-1.0110E-44i,0,4.32E-14
10,0,7.66E+06,-1.3288E-40i,-3.8010E-41i,-4.7242E-45i,0,4.32E-14
10,0,7.68E+06,-8.4802E-41i,1.1730E-40i,-1.6653E-44i,0,4.32E-14
10,0,8.34E+06,1.2225E-41i,-7.1437E-42i,7.9798E-45i,0,4.32E-14
10,0,8.34E+06,1.2492E-40i,6.8789E-41i,-2.6359E-44i,0,4.32E-14
10,0,9.16E+06,-8.3439E-41i,-1.6421E-41i,-1.2003E-46i,0,4.32E-14
10,0,1.02E+07,6.6069E-41i,-7.7177E-41i,4.6700E-44i,0,4.32E-14
10,0,1.02E+07,1.7405E-41i,-3.3782E-43i,4.3235E-45i,0,4.32E-14
10,0,1.02E+07,5.7363E-41i,3.5033E-41i,-1.9428E-45i,0,4.32E-14
10,0.02,75377,-3.6090E-35+2.0009E-35i,2.2974E-30+2.0312E-31i,-1.3328E-31-2.3855E-31i,2.30E-30,4.32E-14
10,0.02,75384,1.9024E-34-1.7671E-36i,1.7297E-31-2.1653E-31i,2.3335E-30+1.8053E-31i,2.34E-30,4.32E-14
10,0.02,1.53E+05,9.4271E-31-1.4045E-32i,8.1707E-36+1.6124E-35i,-7.5405E-35-7.3844E-36i,9.43E-31,4.32E-14
10,0.02,3.17E+06,-4.3565E-34-1.4874E-34i,1.5486E-35+3.2580E-36i,-1.1894E-34-4.5752E-36i,7.93E-31,4.32E-14
10,0.02,3.18E+06,5.3942E-34+5.0690E-34i,-1.0884E-34-3.8300E-35i,-3.0671E-35-4.5250E-35i,7.90E-31,4.32E-14
10,0.02,3.18E+06,-1.6876E-35+1.0501E-33i,-1.1017E-35+1.0663E-34i,-4.9719E-35-3.9519E-35i,6.56E-32,4.32E-14
10,0.02,4.35E+06,-7.4517E-36+1.5900E-36i,4.8105E-33-1.5399E-33i,4.2502E-33-1.1521E-33i,3.66E-31,4.32E-14
10,0.02,4.35E+06,3.6350E-35-7.1147E-36i,7.7727E-33-2.0892E-33i,4.2752E-33-1.4481E-33i,4.15E-31,4.32E-14
10,0.02,4.35E+06,6.7292E-36+3.0080E-36i,5.6244E-33+1.6068E-33i,-8.2862E-33-2.2483E-33i,3.33E-31,4.32E-14
10,0.02,5.96E+06,-4.2028E-36+2.3025E-36i,2.7048E-36-2.3295E-35i,-3.5931E-36-4.3328E-35i,8.52E-32,4.32E-14
10,0.02,5.98E+06,1.9673E-36+1.3488E-36i,-1.0812E-35+4.1139E-35i,-9.9931E-36-2.0765E-35i,1.39E-32,4.32E-14
10,0.02,5.99E+06,2.6572E-36+1.5915E-36i,-2.0136E-35+7.3558E-36i,-8.7679E-36-2.8040E-36i,1.32E-31,4.32E-14
10,0.02,6.58E+06,-5.3330E-36-8.2884E-36i,-1.1057E-33-4.7755E-34i,-2.5325E-34-1.3308E-34i,3.94E-31,4.32E-14
10,0.02,6.58E+06,1.6995E-36+5.6039E-36i,6.7413E-35+2.7199E-35i,6.2243E-34+7.8586E-36i,4.15E-32,4.32E-14
10,0.02,6.59E+06,2.4440E-36+1.0355E-35i,-2.0218E-34-1.7093E-34i,-1.2473E-34-8.8177E-35i,6.09E-31,4.32E-14
10,0.02,6.66E+06,-1.0594E-36+1.3236E-36i,2.0072E-33+5.9438E-35i,3.9545E-33+4.4102E-35i,2.81E-32,4.32E-14
10,0.02,6.66E+06,-2.7481E-36-2.7805E-36i,3.2447E-34-1.1843E-33i,7.1732E-34-3.4135E-33i,5.80E-31,4.32E-14
10,0.02,6.67E+06,1.5733E-36+1.1671E-36i,4.2269E-33-2.2148E-34i,-1.8911E-33+1.6812E-34i,3.54E-32,4.32E-14
10,0.02,6.80E+06,1.3394E-36+7.6731E-36i,3.2181E-35+3.3281E-35i,1.0276E-34-5.5183E-35i,2.12E-31,4.32E-14
10,0.02,6.82E+06,5.2965E-36-1.1391E-36i,2.4010E-35+9.6094E-35i,1.8456E-35-1.3845E-35i,1.01E-31,4.32E-14
10,0.02,6.85E+06,-8.1696E-35-1.3331E-34i,3.2855E-36-1.4512E-37i,-4.8290E-36+1.0555E-36i,1.90E-31,4.32E-14
10,0.02,7.65E+06,6.7018E-36+3.6342E-36i,-9.0930E-36+4.4750E-35i,6.8820E-35-1.1179E-34i,2.57E-31,4.32E-14
10,0.02,7.66E+06,-5.9741E-38+4.4929E-37i,3.2028E-35+1.0699E-34i,1.5287E-35+3.2518E-35i,1.31E-31,4.32E-14
10,0.02,7.68E+06,-2.4668E-36+2.2524E-36i,1.7290E-35+7.9144E-36i,1.5562E-35+2.0848E-35i,8.76E-32,4.32E-14
10,0.02,8.34E+06,2.3729E-36-5.6540E-37i,2.5888E-37+4.1835E-37i,-2.6540E-35+4.4058E-36i,9.81E-32,4.32E-14
10,0.02,8.34E+06,1.9594E-36+1.2934E-36i,1.3552E-35+5.4026E-36i,8.8655E-36+2.7698E-36i,1.74E-31,4.32E-14
10,0.02,9.16E+06,2.5306E-36+3.4890E-37i,1.1525E-35+1.0681E-36i,3.1461E-35+2.4420E-36i,5.63E-32,4.32E-14
10,0.02,1.02E+07,1.4608E-35-1.8032E-36i,6.8224E-34+3.8797E-35i,-3.3631E-34+2.0885E-34i,1.00E-31,4.32E-14
10,0.02,1.02E+07,4.5147E-35-2.0634E-35i,-2.2288E-33+2.9296E-34i,3.0426E-33-2.5249E-33i,5.13E-31,4.32E-14
10,0.02,1.02E+07,1.1177E-35+2.6353E-35i,-2.2601E-33-3.2230E-33i,-2.1876E-33-9.0253E-34i,6.84E-31,4.32E-14
10,0.04,1.51E+05,-4.6426E-35+3.9652E-35i,2.2722E-30+3.8814E-31i,-7.2037E-32-4.5996E-31i,2.27E-30,4.32E-14
10,0.04,1.51E+05,2.0431E-34-2.9113E-36i,2.1524E-31-4.1989E-31i,2.3103E-30+3.4710E-31i,2.32E-30,4.32E-14
10,0.04,3.06E+05,9.4263E-31-2.8043E-32i,8.0365E-36+3.2248E-35i,-7.6119E-35-1.4835E-35i,9.43E-31,4.32E-14
10,0.04,3.17E+06,-1.0193E-33-4.2581E-34i,3.7378E-35+2.1245E-35i,-4.5438E-34-9.7483E-35i,7.08E-31,4.32E-14
10,0.04,3.18E+06,1.2102E-33+3.3933E-34i,-4.3769E-34-9.4864E-37i,-7.0624E-35-6.3959E-35i,7.29E-31,4.32E-14
10,0.04,3.18E+06,1.1905E-33+4.0778E-33i,2.6100E-35+1.6946E-34i,-8.7517E-35-8.6123E-35i,2.38E-31,4.32E-14
10,0.04,4.35E+06,-1.7013E-35+6.5625E-36i,7.4666E-33-4.7766E-33i,6.9609E-33-3.5669E-33i,6.12E-31,4.32E-14
10,0.04,4.35E+06,7.0320E-35-2.4999E-35i,1.4871E-32-7.8156E-33i,8.3749E-33-5.5048E-33i,7.41E-31,4.32E-14
10,0.04,4.35E+06,1.1150E-35+1.0957E-35i,1.0276E-32+5.8693E-33i,-1.5048E-32-8.1836E-33i,6.05E-31,4.32E-14
10,0.04,5.96E+06,-6.2132E-36+8.4176E-36i,-2.3761E-35-8.5938E-35i,-6.4706E-35-1.5931E-34i,1.54E-31,4.32E-14
10,0.04,5.98E+06,3.7768E-36+5.3661E-36i,-2.5620E-35+1.6449E-34i,-1.8653E-35-8.2897E-35i,2.78E-32,4.32E-14
10,0.04,5.99E+06,8.8041E-36+5.8196E-36i,-3.6812E-35+2.4056E-35i,-2.6144E-35-1.0818E-35i,2.09E-31,4.32E-14
10,0.04,6.58E+06,4.5508E-36-2.9421E-35i,-1.7152E-33-1.6894E-33i,-3.8316E-34-4.8725E-34i,7.01E-31,4.32E-14
10,0.04,6.58E+06,3.0635E-36+2.2235E-35i,1.6617E-35+7.9912E-35i,1.2409E-33+2.7726E-35i,8.26E-32,4.32E-14
10,0.04,6.59E+06,-2.6676E-35-1.0392E-35i,5.7243E-34-4.1911E-34i,3.0504E-34-3.0961E-34i,6.29E-31,4.32E-14
10,0.04,6.66E+06,-1.2489E-36+5.9760E-36i,3.5694E-33+2.1985E-34i,6.9452E-33+1.9594E-34i,5.16E-32,4.32E-14
10,0.04,6.66E+06,-5.6347E-36-1.2309E-35i,2.3574E-33-1.6156E-33i,5.9507E-33-5.1187E-33i,4.18E-31,4.32E-14
10,0.04,6.67E+06,3.6924E-36+4.6944E-36i,8.4389E-33-8.7590E-34i,-3.7204E-33+6.6132E-34i,6.99E-32,4.32E-14
10,0.04,6.80E+06,-8.5542E-36+2.0393E-35i,4.5162E-35+8.0442E-35i,4.3190E-34-1.4326E-34i,2.58E-31,4.32E-14
10,0.04,6.82E+06,1.0869E-35-3.9135E-36i,2.2969E-34+3.1790E-34i,1.8986E-35-4.5946E-35i,1.70E-31,4.32E-14
10,0.04,6.85E+06,-4.9616E-34-3.7343E-34i,9.3874E-36+2.4152E-37i,-1.1693E-35+1.5644E-36i,2.49E-31,4.32E-14
10,0.04,7.65E+06,1.1004E-35+1.0635E-35i,-1.0749E-34+1.3907E-34i,3.9206E-34-3.4897E-34i,3.77E-31,4.32E-14
10,0.04,7.66E+06,5.9546E-37+1.6155E-36i,2.4218E-34+3.7505E-34i,8.5834E-35+1.1481E-34i,2.39E-31,4.32E-14
10,0.04,7.68E+06,-2.7509E-36+8.5263E-36i,4.4058E-35+2.8082E-35i,5.2902E-35+7.7475E-35i,1.66E-31,4.32E-14
10,0.04,8.34E+06,5.2744E-36-1.6240E-36i,7.6248E-36+3.8331E-37i,-4.3314E-35+1.2874E-35i,1.48E-31,4.32E-14
10,0.04,8.34E+06,-3.9105E-36+1.7293E-36i,-1.6803E-35+2.2941E-35i,-1.4235E-35+2.5801E-35i,4.43E-31,4.32E-14
10,0.04,9.16E+06,4.9467E-36+1.3808E-36i,2.2714E-35+4.2159E-36i,6.2262E-35+9.6424E-36i,1.11E-31,4.32E-14
10,0.04,1.02E+07,7.0427E-35-5.8441E-36i,-7.3091E-33-2.8603E-33i,6.2593E-33-4.1705E-33i,5.26E-31,4.32E-14
10,0.04,1.02E+07,-4.8542E-35-1.0353E-35i,2.0102E-33-4.8333E-33i,-4.6564E-33-6.1188E-33i,8.52E-31,4.32E-14
10,0.04,1.02E+07,8.1295E-35+3.8240E-35i,-3.4151E-33-3.0581E-33i,3.6806E-34-6.1195E-34i,3.97E-31,4.32E-14
10,0.06,2.26E+05,-6.2439E-35+5.8822E-35i,2.2381E-30+5.4356E-31i,1.3780E-32-6.5339E-31i,2.24E-30,4.32E-14
10,0.06,2.26E+05,2.2646E-34-3.1279E-36i,2.7505E-31-6.0118E-31i,2.2777E-30+4.9028E-31i,2.29E-30,4.32E-14
10,0.06,4.59E+05,9.4251E-31-4.1946E-32i,7.7925E-36+4.8371E-35i,-7.7319E-35-2.2421E-35i,9.43E-31,4.32E-14
10,0.06,3.17E+06,-1.3451E-33-5.3598E-34i,5.1677E-35+4.1834E-35i,-1.0139E-33-2.2079E-34i,6.82E-31,4.32E-14
10,0.06,3.18E+06,1.2798E-33+2.8236E-34i,-9.7186E-34+7.9984E-35i,-8.3559E-35-8.7720E-35i,6.66E-31,4.32E-14
10,0.06,3.19E+06,5.5742E-33+7.7822E-33i,6.3036E-35+1.5725E-34i,-1.3736E-34-8.3915E-35i,4.35E-31,4.32E-14
10,0.06,4.35E+06,-3.0029E-35+1.4987E-35i,7.8487E-33-7.5648E-33i,8.0264E-33-5.6223E-33i,7.36E-31,4.32E-14
10,0.06,4.35E+06,9.6491E-35-4.4633E-35i,1.9985E-32-1.5240E-32i,1.1710E-32-1.0919E-32i,9.08E-31,4.32E-14
10,0.06,4.35E+06,1.2444E-35+2.1665E-35i,1.3693E-32+1.1655E-32i,-1.9827E-32-1.6170E-32i,7.96E-31,4.32E-14
10,0.06,5.96E+06,-5.1626E-36+1.6884E-35i,-9.3367E-35-1.7493E-34i,-2.1182E-34-3.2261E-34i,2.01E-31,4.32E-14
10,0.06,5.98E+06,5.2493E-36+1.1948E-35i,-4.8657E-35+3.6984E-34i,-2.4419E-35-1.8586E-34i,4.17E-32,4.32E-14
10,0.06,5.99E+06,1.9211E-35+1.2624E-35i,-5.2383E-35+4.4819E-35i,-5.6236E-35-2.5535E-35i,2.42E-31,4.32E-14
10,0.06,6.58E+06,3.8032E-35-5.0558E-35i,-1.5395E-33-2.9173E-33i,-3.1675E-34-8.8725E-34i,8.29E-31,4.32E-14
10,0.06,6.58E+06,2.6121E-36+4.9045E-35i,-2.7998E-34+5.6387E-35i,1.8405E-33+4.4982E-35i,1.31E-31,4.32E-14
10,0.06,6.59E+06,-2.3453E-35-4.2591E-35i,1.4176E-33-2.5387E-34i,8.8330E-34-3.8699E-34i,2.80E-31,4.32E-14
10,0.06,6.66E+06,-1.0096E-37+1.5588E-35i,4.4124E-33+4.2674E-34i,8.3635E-33+4.7036E-34i,6.66E-32,4.32E-14
10,0.06,6.66E+06,-8.8006E-36-2.8245E-35i,5.0586E-33-1.6680E-33i,1.2610E-32-6.3096E-33i,3.33E-31,4.32E-14
10,0.06,6.67E+06,6.9131E-36+1.0650E-35i,1.2626E-32-1.9345E-33i,-5.4324E-33+1.4482E-33i,1.03E-31,4.32E-14
10,0.06,6.80E+06,-2.6129E-35+3.6514E-35i,5.8082E-35+1.2478E-34i,9.8399E-34-2.4803E-34i,2.71E-31,4.32E-14
10,0.06,6.82E+06,1.7712E-35-7.4880E-36i,6.6952E-34+5.6816E-34i,-1.2933E-36-8.2565E-35i,2.10E-31,4.32E-14
10,0.06,6.86E+06,-1.2294E-33-6.6256E-34i,1.9292E-35+2.0965E-36i,-2.1587E-35-7.0430E-37i,2.68E-31,4.32E-14
10,0.06,7.65E+06,1.4646E-35+1.7859E-35i,-2.9770E-34+2.5666E-34i,9.8675E-34-6.4809E-34i,4.24E-31,4.32E-14
10,0.06,7.66E+06,2.4284E-36+3.1005E-36i,7.2562E-34+6.9349E-34i,2.4298E-34+2.1475E-34i,3.16E-31,4.32E-14
10,0.06,7.68E+06,6.0744E-37+1.7702E-35i,8.3994E-35+5.2476E-35i,1.2386E-34+1.5622E-34i,2.29E-31,4.32E-14
10,0.06,8.34E+06,9.3433E-36-5.3588E-37i,2.8994E-35-1.3849E-36i,-3.2899E-35+1.0527E-35i,1.40E-31,4.32E-14
10,0.06,8.34E+06,-4.4636E-36-3.8354E-36i,-3.2397E-35+1.9259E-35i,-6.2465E-35+4.8713E-35i,3.48E-31,4.32E-14
10,0.06,9.16E+06,7.1443E-36+3.0538E-36i,3.3263E-35+9.2827E-36i,9.1812E-35+2.1243E-35i,1.64E-31,4.32E-14
10,0.06,1.02E+07,1.4121E-34-1.7254E-35i,-1.0208E-32-4.1932E-33i,8.7713E-33-7.6378E-33i,6.05E-31,4.32E-14
10,0.06,1.02E+07,-6.8369E-35+6.3527E-35i,2.2210E-33-1.1259E-32i,-8.8320E-33-6.7109E-33i,9.02E-31,4.32E-14
10,0.06,1.02E+07,8.5944E-35+3.8824E-36i,-9.2531E-34-5.6105E-34i,3.7259E-34-5.0922E-34i,8.69E-32,4.32E-14
10,0.08,3.01E+05,-8.2823E-35+7.7623E-35i,2.2018E-30+6.6689E-31i,1.1015E-31-8.1665E-31i,2.21E-30,4.32E-14
10,0.08,3.01E+05,2.5534E-34-2.3685E-36i,3.4276E-31-7.5801E-31i,2.2416E-30+6.0743E-31i,2.27E-30,4.32E-14
10,0.08,6.11E+05,9.4238E-31-5.5705E-32i,7.4125E-36+6.4489E-35i,-7.9031E-35-3.0218E-35i,9.42E-31,4.32E-14
10,0.08,3.17E+06,-1.5064E-33-5.7454E-34i,5.9654E-35+6.6558E-35i,-1.7973E-33-3.5816E-34i,6.76E-31,4.32E-14
10,0.08,3.17E+06,1.2817E-33+3.6725E-34i,-1.7178E-33+1.3601E-34i,-9.1636E-35-1.1174E-34i,6.51E-31,4.32E-14
10,0.08,3.19E+06,1.3352E-32+1.0779E-32i,8.5861E-35+1.4343E-34i,-1.7290E-34-5.0820E-35i,5.61E-31,4.32E-14
10,0.08,4.35E+06,-4.6814E-35+2.6142E-35i,6.9874E-33-9.1209E-33i,8.1466E-33-6.7141E-33i,7.92E-31,4.32E-14
10,0.08,4.35E+06,1.1950E-34-6.2193E-35i,2.3895E-32-2.3285E-32i,1.4700E-32-1.6914E-32i,9.85E-31,4.32E-14
10,0.08,4.35E+06,1.1039E-35+3.3348E-35i,1.6190E-32+1.8036E-32i,-2.3035E-32-2.4879E-32i,9.18E-31,4.32E-14
10,0.08,5.96E+06,-1.2021E-36+2.6700E-35i,-2.0758E-34-2.8218E-34i,-4.4957E-34-5.1717E-34i,2.31E-31,4.32E-14
10,0.08,5.98E+06,6.1503E-36+2.0847E-35i,-8.4705E-35+6.5688E-34i,-2.5155E-35-3.2851E-34i,5.57E-32,4.32E-14
10,0.08,5.99E+06,3.3373E-35+2.3154E-35i,-6.8645E-35+7.0803E-35i,-1.0195E-34-5.2509E-35i,2.51E-31,4.32E-14
10,0.08,6.57E+06,9.0274E-35-6.2163E-35i,-9.6980E-34-3.6444E-33i,-1.5113E-34-1.1805E-33i,8.24E-31,4.32E-14
10,0.08,6.58E+06,-3.0523E-36+8.3248E-35i,-9.3572E-34-2.5747E-34i,2.3947E-33+2.1458E-35i,2.10E-31,4.32E-14
10,0.08,6.59E+06,3.3433E-37-6.3248E-35i,2.5050E-33+1.4724E-34i,1.8255E-33-5.1015E-34i,2.28E-31,4.32E-14
10,0.08,6.65E+06,2.2592E-36+3.1412E-35i,4.5979E-33+6.0613E-34i,8.3344E-33+8.0036E-34i,7.23E-32,4.32E-14
10,0.08,6.66E+06,-1.0236E-35-4.2632E-35i,7.3697E-33-1.3284E-33i,1.8157E-32-6.6634E-33i,2.56E-31,4.32E-14
10,0.08,6.67E+06,1.1809E-35+1.9114E-35i,1.6788E-32-3.3540E-33i,-6.9835E-33+2.4822E-33i,1.34E-31,4.32E-14
10,0.08,6.80E+06,-4.9663E-35+5.8032E-35i,7.5095E-35+1.6625E-34i,1.7491E-33-3.7925E-34i,2.75E-31,4.32E-14
10,0.08,6.82E+06,2.7055E-35-1.1676E-35i,1.3327E-33+7.9706E-34i,-3.8989E-35-1.1677E-34i,2.32E-31,4.32E-14
10,0.08,6.86E+06,-2.2640E-33-1.0240E-33i,3.3329E-35+6.2345E-36i,-3.3980E-35-7.0432E-36i,2.75E-31,4.32E-14
10,0.08,7.65E+06,1.8802E-35+2.4738E-35i,-5.7113E-34+4.0165E-34i,1.8326E-33-1.0211E-33i,4.43E-31,4.32E-14
10,0.08,7.66E+06,5.6646E-36+4.4947E-36i,1.5006E-33+9.6234E-34i,4.9567E-34+3.0274E-34i,3.66E-31,4.32E-14
10,0.08,7.68E+06,8.1766E-36+2.8653E-35i,1.3428E-34+7.3651E-35i,2.2807E-34+2.4347E-34i,2.76E-31,4.32E-14
10,0.08,8.33E+06,1.4123E-35+2.4827E-36i,5.2215E-35-1.6247E-37i,-1.9923E-35+5.5770E-36i,1.28E-31,4.32E-14
10,0.08,8.34E+06,-3.8833E-36-6.9634E-36i,-2.8349E-35+1.9884E-35i,-8.1298E-35+6.9504E-35i,3.69E-31,4.32E-14
10,0.08,9.16E+06,9.0383E-36+5.3050E-36i,4.2931E-35+1.6026E-35i,1.1965E-34+3.6706E-35i,2.13E-31,4.32E-14
10,0.08,1.02E+07,1.9769E-34-1.6618E-35i,-1.3677E-32-6.8083E-33i,1.1376E-32-1.0324E-32i,6.55E-31,4.32E-14
10,0.08,1.02E+07,-9.6789E-35+8.0954E-35i,4.0615E-33-1.3998E-32i,-1.1712E-32-8.8580E-33i,8.63E-31,4.32E-14
10,0.08,1.02E+07,1.1241E-34-2.2824E-36i,-5.9929E-34-4.0312E-34i,2.2908E-34-4.3862E-34i,9.10E-32,4.32E-14
10,0.1,3.76E+05,-1.0645E-34+9.6328E-35i,2.1679E-30+7.6102E-31i,2.0632E-31-9.5267E-31i,2.18E-30,4.32E-14
10,0.1,3.76E+05,2.8966E-34-8.3419E-37i,4.1073E-31-8.9174E-31i,2.2057E-30+6.9997E-31i,2.25E-30,4.32E-14
10,0.1,7.61E+05,9.4227E-31-6.9271E-32i,6.8568E-36+8.0594E-35i,-8.1293E-35-3.8310E-35i,9.42E-31,4.32E-14
10,0.1,3.16E+06,-1.5919E-33-6.0129E-34i,6.1874E-35+9.8961E-35i,-2.7956E-33-5.1329E-34i,6.76E-31,4.32E-14
10,0.1,3.17E+06,1.2797E-33+4.8550E-34i,-2.6715E-33+1.6047E-34i,-9.6824E-35-1.2882E-34i,6.47E-31,4.32E-14
10,0.1,3.20E+06,2.4447E-32+1.1807E-32i,1.0334E-34+1.3299E-34i,-1.9049E-34-6.2230E-36i,6.45E-31,4.32E-14
10,0.1,4.35E+06,-6.7155E-35+3.8829E-35i,5.7885E-33-9.7442E-33i,7.9532E-33-7.0582E-33i,8.18E-31,4.32E-14
10,0.1,4.36E+06,1.4277E-34-7.7458E-35i,2.7096E-32-3.1354E-32i,1.7524E-32-2.3004E-32i,1.02E-30,4.32E-14
10,0.1,4.36E+06,7.7445E-36+4.5033E-35i,1.8213E-32+2.4488E-32i,-2.5309E-32-3.3574E-32i,9.88E-31,4.32E-14
10,0.1,5.96E+06,5.2064E-36+3.7430E-35i,-3.6323E-34-4.0554E-34i,-7.7397E-34-7.3832E-34i,2.50E-31,4.32E-14
10,0.1,5.98E+06,6.1075E-36+3.1441E-35i,-1.3970E-34+1.0253E-33i,-1.7311E-35-5.0835E-34i,6.98E-32,4.32E-14
10,0.1,5.99E+06,5.0133E-35+3.9573E-35i,-8.4599E-35+1.1097E-34i,-1.6710E-34-1.0433E-34i,2.45E-31,4.32E-14
10,0.1,6.57E+06,1.5435E-34-6.8686E-35i,-5.2540E-34-3.9634E-33i,-2.6827E-35-1.3635E-33i,7.91E-31,4.32E-14
10,0.1,6.58E+06,-1.6968E-35+1.1465E-34i,-1.8796E-33-1.1521E-33i,2.8198E-33-1.1787E-34i,3.30E-31,4.32E-14
10,0.1,6.59E+06,4.2174E-35-5.6234E-35i,3.3336E-33+9.2683E-34i,2.9715E-33-5.5981E-34i,2.94E-31,4.32E-14
10,0.1,6.65E+06,5.4229E-36+5.3167E-35i,4.4345E-33+7.1245E-34i,7.5470E-33+1.0705E-33i,7.12E-32,4.32E-14
10,0.1,6.66E+06,-1.0874E-35-5.6163E-35i,9.3923E-33-9.4584E-34i,2.3124E-32-7.1586E-33i,2.15E-31,4.32E-14
10,0.1,6.67E+06,1.8975E-35+3.0148E-35i,2.0932E-32-5.0827E-33i,-8.3438E-33+3.7092E-33i,1.62E-31,4.32E-14
10,0.1,6.80E+06,-7.7530E-35+8.6940E-35i,9.7448E-35+2.0483E-34i,2.7177E-33-5.4593E-34i,2.78E-31,4.32E-14
10,0.1,6.83E+06,4.0136E-35-1.6769E-35i,2.2016E-33+9.8384E-34i,-9.0896E-35-1.4578E-34i,2.44E-31,4.32E-14
10,0.1,6.86E+06,-3.5931E-33-1.4855E-33i,5.1755E-35+1.3546E-35i,-4.7716E-35-1.8552E-35i,2.77E-31,4.32E-14
10,0.1,7.64E+06,2.3946E-35+3.1174E-35i,-9.2268E-34+5.8379E-34i,2.9162E-33-1.4936E-33i,4.50E-31,4.32E-14
10,0.1,7.66E+06,1.0402E-35+5.4309E-36i,2.5508E-33+1.1118E-33i,8.4218E-34+3.5724E-34i,3.98E-31,4.32E-14
10,0.1,7.68E+06,1.9904E-35+4.0648E-35i,1.8883E-34+8.7645E-35i,3.5712E-34+3.3046E-34i,3.10E-31,4.32E-14
10,0.1,8.33E+06,1.9166E-35+6.1832E-36i,7.3541E-35+3.2819E-36i,-1.0180E-35+2.4230E-36i,1.28E-31,4.32E-14
10,0.1,8.34E+06,-5.6859E-36-9.7864E-36i,-2.8160E-35+2.4441E-35i,-9.5328E-35+9.5155E-35i,4.00E-31,4.32E-14
10,0.1,9.16E+06,1.0567E-35+8.0592E-36i,5.1549E-35+2.4151E-35i,1.4545E-34+5.5378E-35i,2.58E-31,4.32E-14
10,0.1,1.02E+07,2.4890E-34-1.4332E-35i,-1.6876E-32-9.4584E-33i,1.3559E-32-1.2548E-32i,6.79E-31,4.32E-14
10,0.1,1.02E+07,-1.2286E-34+9.2742E-35i,5.7252E-33-1.6134E-32i,-1.4474E-32-1.0963E-32i,8.24E-31,4.32E-14
10,0.1,1.02E+07,1.4643E-34-9.8099E-36i,-4.7931E-34-3.5024E-34i,1.6347E-34-4.1080E-34i,1.11E-31,4.32E-14
10,0.12,4.50E+05,-1.3247E-34+1.1524E-34i,2.1390E-30+8.3137E-31i,2.9662E-31-1.0668E-30i,2.17E-30,4.32E-14
10,0.12,4.51E+05,3.2799E-34+1.2295E-36i,4.7380E-31-1.0043E-30i,2.1688E-30+7.7033E-31i,2.23E-30,4.32E-14
10,0.12,9.10E+05,9.4224E-31-8.2593E-32i,6.0726E-36+9.6671E-35i,-8.4155E-35-4.6796E-35i,9.42E-31,4.32E-14
10,0.12,3.16E+06,-1.6413E-33-6.3149E-34i,5.6886E-35+1.4185E-34i,-3.9980E-33-6.9206E-34i,6.76E-31,4.32E-14
10,0.12,3.16E+06,1.2778E-33+6.1340E-34i,-3.8249E-33+1.5045E-34i,-9.7985E-35-1.3558E-34i,6.47E-31,4.32E-14
10,0.12,3.20E+06,3.8387E-32+1.0215E-32i,1.1693E-34+1.2656E-34i,-1.9329E-34+3.7975E-35i,6.94E-31,4.32E-14
